Issuer,Ticker,Coupon,Maturity,Issue Date,ISIN,Preferred RIC,Principal Currency,Country of Issue,Issuer Type,Instrument Type,Coupon Type,Amount Issued (USD),Bond Grade,Green Bond,Sector,TRBC Sector,Country of Incorporation,SIC,Use of Proceeds,IsPublic,First Announcement Date
Jernhusen AB,JENEN,0.598,2022-02-04 00:00:00,2019-02-04,SE0011643154,SE0011643154=,Swedish Krona,Sweden,Corporate,Bond,Plain Vanilla Fixed Coupon,17105518,,Yes,Railroads,Construction & Engineering (NEC),Sweden,4011,General Purpose,False,2019-01-29
Vasakronan AB (publ),VASKNV,0.609,2022-02-11 00:00:00,2019-01-29,XS1941844174,SE194184417=,Swedish Krona,Eurobond Market,Corporate,Note,Fixed Margin over Index,182458861,,Yes,Home Builders,"Real Estate Rental, Development & Operations (NEC)",Sweden,6531,General Purpose,False,2019-01-21
Neerg Energy Ltd,NRGEY,6,2022-02-13 00:00:00,2017-02-13,US64009VAA61,64009VAA6=,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,475000000,High Yield,Yes,Financial - Other,Corporate Financial Services (NEC),Mauritius,6799,Eligible Green Projects,False,2017-02-06
Neerg Energy Ltd,NRGEY,6,2022-02-13 00:00:00,2017-02-13,USV6277KAA26,MU155707011=,US Dollar,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,475000000,High Yield,Yes,Financial - Other,Corporate Financial Services (NEC),Mauritius,6799,,False,2017-02-06
Vasakronan AB (publ),VASKNV,0.751,2022-02-15 00:00:00,2018-11-30,XS1917357573,SE191735757=,Swedish Krona,Eurobond Market,Corporate,Note,Fixed Margin over Index,34211036,,Yes,Home Builders,"Real Estate Rental, Development & Operations (NEC)",Sweden,6531,Eligible Green Projects,False,2018-11-27
China Huarong Financial Leasing Co Ltd,HRAMGV,4.7,2022-02-15 00:00:00,2017-02-14,CND10000GK07,CN1722005=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,146412884,,Yes,Financial - Other,Consumer Leasing,China (Mainland),6159,Eligible Green Projects,False,2017-02-09
Skandinaviska Enskilda Banken AB,SEB,0.3,2022-02-17 00:00:00,2017-02-17,XS1567475303,SE156747530=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,590848931,Investment Grade,Yes,Banking,Banks (NEC),Sweden,6029,Eligible Green Projects,True,2017-02-10
Svensk FastighetsFinansiering AB (publ),SFFHOS,1.358,2022-02-20 00:00:00,2017-02-20,SE0009606759,SE0009606759=,Swedish Krona,Sweden,Corporate,Bond,Fixed Margin over Index,57018394,,Yes,Financial - Other,Corporate Financial Services (NEC),Sweden,6799,Green Construction,False,2017-02-10
Rikshem AB (publ),RIKINR,1.25,2022-02-22 00:00:00,2016-11-22,SE0009345630,SE0009345630=,Swedish Krona,Sweden,Corporate,Bond,Plain Vanilla Fixed Coupon,17105518,,Yes,Home Builders,"Real Estate Rental, Development & Operations (NEC)",Sweden,6514,Green Construction,False,2016-11-15
Rikshem AB (publ),RIKINR,1.049,2022-02-22 00:00:00,2016-11-22,SE0009345622,SE0009345622=,Swedish Krona,Sweden,Corporate,Bond,Fixed Margin over Index,39912875,,Yes,Home Builders,"Real Estate Rental, Development & Operations (NEC)",Sweden,6514,Other,False,2016-11-15
Vasakronan AB (publ),VASKNV,0.775,2022-02-24 00:00:00,2019-01-24,XS1940194753,SE194019475=,Swedish Krona,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,11403678,,Yes,Home Builders,"Real Estate Rental, Development & Operations (NEC)",Sweden,6531,Eligible Green Projects,False,2019-01-17
Pasukhas Green Assets Sdn Bhd,PASUK,5.5,2022-02-28 00:00:00,2019-02-28,MYBVG1900456,MYSUK190045=,Malaysian Ringgit,Malaysia,Corporate,Islamic Sukuk (Hybrid),Plain Vanilla Fixed Coupon,336943,,Yes,Financial - Other,Renewable Utilities,Malaysia,6726,Refinance/Financing expenses,False,2019-02-27
Bank of Rizhao Co Ltd,RIZHA,3.7,2022-02-28 00:00:00,2019-02-26,CND100020S55,CN1920009=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,439238653,,Yes,Banking,Corporate Banks,China (Mainland),6021,Eligible Green Projects,False,2019-02-21
Caisse des Depots et Consignations,CDCEC,0.2,2022-03-01 00:00:00,2017-03-01,FR0013239985,FR0013239985=,Euro,France,Agency,Bond,Plain Vanilla Fixed Coupon,590848931,Investment Grade,Yes,Agency,Corporate Financial Services (NEC),France,6799,Energy Efficiency,False,2017-02-22
China Suntien Green Energy Corp Ltd,SUNTG,4.7,2022-03-05 00:00:00,2019-03-01,,CN155956SH=,Chinese Yuan,China (Mainland),Corporate,China Corporate Bond,Plain Vanilla Fixed Coupon,133235724,,Yes,Gas Utility - Local Distrib,Natural Gas Distribution,China (Mainland),4923,Eligible Green Projects,True,2019-02-27
"Malmo, Municipality of",MALMO,0.981,2022-03-07 00:00:00,2017-12-07,XS1732403925,SE173240392=,Swedish Krona,Eurobond Market,Non-US Munis,Note,Fixed Margin over Index,74123912,,Yes,Official and Muni,,Sweden,9311,Eligible Green Projects,False,2017-12-04
Vestas Wind Systems A/S,VWS,2.75,2022-03-11 00:00:00,2015-03-11,XS1197336263,DK119733626=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,590848931,,Yes,Utility - Other,Wind Systems & Equipment,Denmark,4911,Alternative Energy,True,2015-03-04
Shanghai Lingang Economic Development Group Co Ltd,SHMNNP,3.6,2022-03-20 00:00:00,2018-03-16,,CN143518SH=,Chinese Yuan,China (Mainland),Corporate,China Corporate Bond,Step Up / Step Down,95168374,,Yes,Electronics,Industrial Plant Construction,China (Mainland),3699,Eligible Green Projects,False,2018-03-14
Atrium Ljungberg AB,ATRLJ,1.238,2022-03-21 00:00:00,2017-03-21,SE0009773203,SE0009773203=,Swedish Krona,Sweden,Corporate,Bond,Fixed Margin over Index,125440467,,Yes,Home Builders,Retail Real Estate Rental & Development,Sweden,6531,Clean Transport,True,2017-03-15
Guangdong Nanhai Rural Commercial Bank Co Ltd,NHRCB,3.62,2022-03-21 00:00:00,2019-03-19,CND100024G14,CN1921008=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,87847730,,Yes,Banking,Banks (NEC),China (Mainland),6029,Eligible Green Projects,False,2019-03-14
Kungsleden AB,KLED,2.138,2022-03-21 00:00:00,2018-03-21,SE0010599100,SE0010599100=,Swedish Krona,Sweden,Corporate,Bond,Fixed Margin over Index,142545985,,Yes,Home Builders,"Real Estate Rental, Development & Operations (NEC)",Sweden,6531,Clean Transport,True,2018-03-20
Atrium Ljungberg AB,ATRLJ,1.619,2022-03-21 00:00:00,2017-03-21,SE0009773211,SE0009773211=,Swedish Krona,Sweden,Corporate,Bond,Plain Vanilla Fixed Coupon,22807357,,Yes,Home Builders,Retail Real Estate Rental & Development,Sweden,6531,,True,2017-03-15
Kungsleden AB,KLED,2.375,2022-03-21 00:00:00,2018-03-21,SE0010599118,SE0010599118=,Swedish Krona,Sweden,Corporate,Bond,Plain Vanilla Fixed Coupon,142545985,,Yes,Home Builders,"Real Estate Rental, Development & Operations (NEC)",Sweden,6531,Eligible Green Projects,True,2018-03-20
Bank of Huzhou Co Ltd,HUZHU,3.75,2022-03-26 00:00:00,2019-03-22,CND1000250Y2,CN1920018=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,73206442,,Yes,Banking,Corporate Banks,China (Mainland),6029,Eligible Green Projects,False,2019-03-20
Guangdong Sihui Rural Commercial Bank Co Ltd,SIHRB,4.3,2022-03-29 00:00:00,2019-03-28,CND10002F9X2,CN1921014=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,29282576,,Yes,Banking,Corporate Banks,China (Mainland),6029,Eligible Green Projects,False,2019-03-25
First Abu Dhabi Bank PJSC,FAB,3,2022-03-30 00:00:00,2017-03-30,XS1587035996,AE158703599=,US Dollar,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,587000000,Investment Grade,Yes,Banking,Banks (NEC),United Arab Emirates,6021,Clean Transport,True,2017-03-27
Commonwealth Bank of Australia,CBA,1.022,2022-03-31 00:00:00,2017-03-31,AU3FN0035317,AUCA0322F=,Australian Dollar,Australia,Corporate,Note,Fixed Margin over Index,145479938,Investment Grade,Yes,Banking,Banks (NEC),Australia,6029,Energy Efficiency,True,2017-03-28
Commonwealth Bank of Australia,CBA,3.25,2022-03-31 00:00:00,2017-03-31,AU3CB0243657,AUCBA0322=,Australian Dollar,Australia,Corporate,Note,Plain Vanilla Fixed Coupon,327329861,Investment Grade,Yes,Banking,Banks (NEC),Australia,6029,Clean Transport,True,2017-03-28
Bank of Lanzhou Co Ltd,LANZH,3.58,2022-04-04 00:00:00,2019-04-02,CND100025Q45,CN1920021=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,292825768,,Yes,Banking,Banks (NEC),China (Mainland),6029,Eligible Green Projects,False,2019-03-28
Klovern AB,KLOV,4.038,2022-04-04 00:00:00,2018-04-04,SE0011063163,SE0011063163=,Swedish Krona,Sweden,Corporate,Bond,Fixed Margin over Index,285091970,,Yes,Home Builders,"Real Estate Rental, Development & Operations (NEC)",Sweden,6531,Energy Efficiency,True,2018-03-27
Quantum Solar Park (Semenanjung) Sdn Bhd,QUANSS,5.11,2022-04-06 00:00:00,2017-10-06,MYBVI1702940,MYSUK170294=,Malaysian Ringgit,Malaysia,Corporate,Islamic Sukuk (Murabaha),Plain Vanilla Fixed Coupon,6016847,,Yes,Utility - Other,Electric Utilities (NEC),Malaysia,4911,,False,2017-10-04
Jiangsu Financial Leasing Co Ltd,JSFLC,3.7,2022-04-11 00:00:00,2019-04-09,CND100025TR8,CN1922015=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,73206442,,Yes,Leasing,Consumer Leasing,China (Mainland),6159,Eligible Green Projects,True,2019-04-03
Bank of Beijing Co Ltd,BOBJG,4.5,2022-04-19 00:00:00,2017-04-17,CND10000H691,CN1720017=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,439238653,,Yes,Banking,Corporate Banks,China (Mainland),6021,Eligible Green Projects,True,2017-04-13
Bank of Jiangsu Co Ltd,BNKJS,3.6,2022-04-22 00:00:00,2019-04-18,CND100026Z27,CN1920029=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,1464128843,,Yes,Banking,Banks (NEC),China (Mainland),6029,Eligible Green Projects,True,2019-04-16
Industrial and Commercial Bank of China Ltd (Singapore Branch),ICBACC,3.3,2022-04-25 00:00:00,2019-04-25,XS1982691237,CN198269123=,Chinese Yuan,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,146412884,Investment Grade,Yes,Banking,Banks (NEC),Singapore,6081,The Belt and Road Initiative,False,2019-04-16
Industrial and Commercial Bank of China Ltd (Singapore Branch),ICBACC,0.9645,2022-04-25 00:00:00,2019-04-25,XS1982691070,CN198269107=,US Dollar,Eurobond Market,Corporate,Note,Fixed Margin over Index,900000000,Investment Grade,Yes,Banking,Banks (NEC),Singapore,6081,The Belt and Road Initiative,False,2019-04-16
Industrial and Commercial Bank of China Ltd (Singapore Branch),ICBACC,0.25,2022-04-25 00:00:00,2019-04-25,XS1982690858,CN198269085=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,590848931,Investment Grade,Yes,Banking,Banks (NEC),Singapore,6081,The Belt and Road Initiative,False,2019-04-16
Corporacion Financiera de Desarrollo SA,COFX,5.125,2022-04-26 00:00:00,2019-04-26,PEP11100M336,VCOF5DBC1A=,Peruvian Sol,Peru,Agency,Bond,Plain Vanilla Fixed Coupon,28282942,,Yes,Agency,Corporate Financial Services (NEC),Peru,6289,,True,2019-04-23
UITM Solar Power Sdn Bhd,UITMPS,5.2,2022-04-27 00:00:00,2018-04-27,MYBVH1801751,MYSUK180175=,Malaysian Ringgit,Malaysia,Corporate,Islamic Sukuk (Murabaha),Plain Vanilla Fixed Coupon,2406738,,Yes,Gas Utility - Pipelines,Electric Utilities (NEC),Malaysia,4911,,False,2018-04-25
Bank of Nanjing Co Ltd,NANBK,4.6,2022-04-27 00:00:00,2017-04-25,CND10000H8V8,CN1720012=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,146412884,,Yes,Banking,Corporate Banks,China (Mainland),6029,Eligible Green Projects,True,2017-04-20
Meridian Energy Ltd,MEL,2.3,2022-04-29 00:00:00,2012-04-30,NZMELDT003C6,NZMR0422F=,New Zealand Dollar,New Zealand,Corporate,Note,Fixed Margin over Index,33449962,Investment Grade,Yes,Utility - Other,Renewable Utilities,New Zealand,4911,,True,2012-04-26
Nedbank Ltd,NEDJNE,4.815,2022-04-29 00:00:00,2019-04-30,ZAG000158999,ZANBG01GVT=J,South African Rand,South Africa,Corporate,Bond,Fixed Margin over Index,36810622,,Yes,Banking,Banks (NEC),South Africa,6029,Renewable Energy Projects,False,2019-04-29
China Development Bank,CNDBK,4.19,2022-05-02 00:00:00,2017-04-27,CND10000H8X4,CN1702002=,Chinese Yuan,China (Mainland),Agency,Bond,Plain Vanilla Fixed Coupon,1464128843,,Yes,Agency,Corporate Banks,China (Mainland),6021,Eligible Green Projects,False,2017-04-27
Berlin Hyp AG,EWRSFY,0.125,2022-05-05 00:00:00,2015-05-05,DE000BHY0GP5,DEBHY0GP=,Euro,Germany,Corporate,Hypothekenpfandbrief (Covered Bond),Plain Vanilla Fixed Coupon,590848931,Investment Grade,Yes,Banking,Retail & Mortgage Banks,Germany,6029,Eligible Green Projects,False,2015-04-27
Harbin Bank Co Ltd,HBCBK,4.75,2022-05-10 00:00:00,2017-05-05,CND10000H8R6,CN1720022=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,146412884,,Yes,Banking,Corporate Banks,China (Mainland),6029,Eligible Green Projects,True,2017-05-02
Duke Energy Carolinas LLC,DUKDP,3.35,2022-05-15 00:00:00,2018-11-08,US26442CAW47,26442CAW4=,US Dollar,United States,Corporate,Bond,Plain Vanilla Fixed Coupon,350000000,Investment Grade,Yes,Utility - Other,Electric Utilities (NEC),United States,4939,Eligible Green Projects,False,2018-11-05
China Longyuan Power Group Corp Ltd,CNLYP,2.5,2022-05-16 00:00:00,2017-05-15,CND10000JT96,CN143110SH=,Chinese Yuan,China (Mainland),Corporate,China Corporate Bond,Step Up / Step Down,292825768,,Yes,Utility - Other,Renewable Utilities,China (Mainland),4911,Eligible Green Projects,True,2017-05-11
Volvofinans Bank AB,VOLBK,0.921,2022-05-16 00:00:00,2017-05-16,SE0009921950,SE0009921950=,Swedish Krona,Sweden,Corporate,Bond,Fixed Margin over Index,79825751,,Yes,Banking,Consumer Leasing,Sweden,6029,Eligible Green Projects,False,2017-05-12
Bank of America Corp,BAC,3.499,2022-05-17 00:00:00,2018-05-17,US06051GHH56,06051GHH5=,US Dollar,United States,Corporate,Note,Fixed then Floating,2250000000,Investment Grade,Yes,Banking,Banks (NEC),United States,6712,Eligible Green Projects,True,2018-05-14
Stockholm Exergi Holding AB (publ),STEXE,1.75,2022-05-18 00:00:00,2015-05-18,SE0007075130,SE0007075130=,Swedish Krona,Sweden,Corporate,Note,Plain Vanilla Fixed Coupon,171055182,Investment Grade,Yes,Utility - Other,Electric Utilities (NEC),Sweden,4911,Energy Efficiency,False,2015-05-12
"Lund, Municipality of",LUNDK,1.006,2022-05-18 00:00:00,2017-05-18,SE0009947500,SE0009947500=,Swedish Krona,Sweden,Non-US Munis,Bond,Fixed Margin over Index,85527591,,Yes,Official and Muni,,Sweden,9311,Land Preservation,False,2017-05-18
Vasakronan AB (publ),VASKNV,0.839,2022-05-24 00:00:00,2017-05-24,SE0009983802,SE0009983802=,Swedish Krona,Sweden,Corporate,Bond,Fixed Margin over Index,68422072,,Yes,Home Builders,"Real Estate Rental, Development & Operations (NEC)",Sweden,6531,Green Construction,False,2017-05-17
Vasakronan AB (publ),VASKNV,1.083,2022-05-24 00:00:00,2017-05-24,SE0009983810,SE0009983810=,Swedish Krona,Sweden,Corporate,Bond,Plain Vanilla Fixed Coupon,94650534,,Yes,Home Builders,"Real Estate Rental, Development & Operations (NEC)",Sweden,6531,Other,False,2017-05-17
BTS Group Holdings PCL,BTS,2.63,2022-05-24 00:00:00,2019-05-24,TH0221032509,THBTSG225A=,Thai Baht,Thailand,Corporate,Bond,Plain Vanilla Fixed Coupon,41454081,,Yes,Transportation - Other,Commuting Services,Thailand,4111,Clean Transport,True,2019-04-30
FastPartner AB,FPAR,2.866,2022-05-30 00:00:00,2018-11-30,SE0011974351,SE0011974351=,Swedish Krona,Sweden,Corporate,Bond,Fixed Margin over Index,148247824,,Yes,Home Builders,"Real Estate Rental, Development & Operations (NEC)",Sweden,6531,Eligible Green Projects,True,2018-11-23
Landesbank Baden Wuerttemberg,LKBF,2.375,2022-05-31 00:00:00,2019-05-29,DE000LB2CJ96,DELB2CJ9=,US Dollar,Germany,Corporate,Hypothekenpfandbrief (Covered Bond),Plain Vanilla Fixed Coupon,750000000,Investment Grade,Yes,Banking,Banks (NEC),Germany,6022,,False,2019-05-21
ABN Amro Bank NV,ABNAM,0.625,2022-05-31 00:00:00,2016-05-31,XS1422841202,NL142284120=,Euro,Eurobond Market,Corporate,Bond,Plain Vanilla Fixed Coupon,590848931,Investment Grade,Yes,Banking,Banks (NEC),Netherlands,6029,Eligible Green Projects,True,2016-05-23
BNP Paribas SA,BNP,0.5,2022-06-01 00:00:00,2016-12-01,XS1527753187,FR152775318=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,590848931,Investment Grade,Yes,Banking,Banks (NEC),France,6029,Energy Efficiency,True,2016-11-24
BRF SA,BRFSC,2.75,2022-06-03 00:00:00,2015-06-03,XS1242327168,BR124232716=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,590848931,High Yield,Yes,Food Processors,Meat Processing,Brazil,5147,Eligible Green Projects,True,2015-05-29
KfW,KFW,0.125,2022-06-03 00:00:00,2019-06-04,XS2007223709,DE200722370=,Swedish Krona,Eurobond Market,Agency,Note,Plain Vanilla Fixed Coupon,798257517,Investment Grade,Yes,Agency,Corporate Financial Services (NEC),Germany,6021,Eligible Green Projects,False,2019-05-28
BRF SA,BRFSC,2.75,2022-06-03 00:00:00,2015-06-03,XS1242327325,BR124232732=,Euro,United States,Corporate,Note,Plain Vanilla Fixed Coupon,590848931,High Yield,Yes,Food Processors,Meat Processing,Brazil,5147,Eligible Green Projects,True,2015-05-29
Bank of Zhengzhou Co Ltd,ZZCOM,3.7,2022-06-05 00:00:00,2019-06-03,CND10002C045,CN1920043=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,292825768,,Yes,Banking,Corporate Banks,China (Mainland),6022,Eligible Green Projects,True,2019-05-29
ABC Financial Leasing Co Ltd,AGBKFH,3.68,2022-06-05 00:00:00,2019-06-03,CND10002C052,CN1922023=,Chinese Yuan,China (Mainland),Corporate,China Enterprise Bond,Plain Vanilla Fixed Coupon,439238653,,Yes,Leasing,Consumer Lending (NEC),China (Mainland),6159,Eligible Green Projects,False,2019-05-29
Hero Wind Energy Pvt Ltd,HERFTW,0,2022-06-06 00:00:00,2016-12-21,INE918T07038,INHERWI0622=,Indian Rupee,India,Corporate,India - Non Convertible Debenture,Zero Coupon,17019770,,Yes,Financial - Other,Electric Utilities (NEC),India,6799,Alternative Energy,False,2016-12-20
Vacse AB (publ),VASCE,1.131,2022-06-07 00:00:00,2018-06-07,SE0011062876,SE0011062876=,Swedish Krona,Sweden,Corporate,Bond,Fixed Margin over Index,79825751,,Yes,Financial - Other,Real Estate Services (NEC),Sweden,6552,Eligible Green Projects,False,2018-05-31
"Nacka, Municipality of",NACKA,0.41,2022-06-08 00:00:00,2018-06-08,SE0010599282,SE0010599282=,Swedish Krona,Sweden,Non-US Munis,Bond,Plain Vanilla Fixed Coupon,57018394,,Yes,Official and Muni,,Sweden,9311,Eligible Green Projects,False,2018-06-07
Hero Solar Energy Pvt Ltd,HRSEG,11.84,2022-06-10 00:00:00,2019-06-11,INE316W07021,INHRSEG1022=,Indian Rupee,India,Corporate,India - Non Convertible Debenture,Plain Vanilla Fixed Coupon,13615816,,Yes,Oil and Gas,Renewable IPPs,India,4911,Alternative Energy,False,2019-06-10
Latvenergo AS,LVENG,1.9,2022-06-10 00:00:00,2016-04-14,LV0010801775,LV0010801775=,Euro,Latvia,Corporate,Bond,Plain Vanilla Fixed Coupon,29542446,,Yes,Utility - Other,Electric Utilities (NEC),Latvia,4931,Energy Efficiency,False,2016-04-14
Latvenergo AS,LVENG,1.9,2022-06-10 00:00:00,2015-06-10,LV0000801777,LV0000801777=,Euro,Latvia,Corporate,Note,Plain Vanilla Fixed Coupon,118169786,Investment Grade,Yes,Utility - Other,Electric Utilities (NEC),Latvia,4931,Eligible Green Projects,False,2015-06-08
Hero Wind Energy Pvt Ltd,HERFTW,11.84,2022-06-10 00:00:00,2019-06-11,INE918T07046,INE918T07046=NSEO,Indian Rupee,India,Corporate,India - Non Convertible Debenture,Plain Vanilla Fixed Coupon,6807908,,Yes,Financial - Other,Electric Utilities (NEC),India,6799,Alternative Energy,False,2019-06-10
"Gothenburg, Municipality of",GTBRG,0.885,2022-06-15 00:00:00,2016-06-15,XS1433082861,SE143308286=,Swedish Krona,Eurobond Market,Non-US Munis,Note,Plain Vanilla Fixed Coupon,114036788,Investment Grade,Yes,Official and Muni,,Sweden,9311,Clean Transport,False,2016-06-08
Renewi PLC,RWI,3.65,2022-06-16 00:00:00,2015-06-16,XS1238024035,GB123802403=,Euro,Eurobond Market,Corporate,Note,Plain Vanilla Fixed Coupon,118169786,,Yes,Service - Other,"Waste Management, Disposal & Recycling Services",United Kingdom,4953,Eligible Green Projects,True,2015-06-03
Xinjiang New Energy Group Co Ltd,XINJNE,5.9,2022-06-17 00:00:00,2019-06-13,CND10002GW01,CN131900010=,Chinese Yuan,China (Mainland),Corporate,Note,Plain Vanilla Fixed Coupon,29282576,,Yes,Financial - Other,Securities & Commodity Exchanges,China (Mainland),6799,Eligible Green Projects,False,2019-06-11
Southern Power Co,SOPWR,1,2022-06-20 00:00:00,2016-06-20,XS1434560642,US143456064=,Euro,Eurobond Market,Corporate,Bond,Plain Vanilla Fixed Coupon,709018718,Investment Grade,Yes,Utility - Other,Electric Utilities (NEC),United States,4911,Eligible Green Projects,False,2016-06-13
